Graph Size,Runtime (milliseconds)
716,2341.977331
717,2337.749656
718,2344.308341
719,2370.673588
720,2341.552371
721,2389.065522
722,2360.575787
723,2348.670445
724,2380.522587
725,2407.733523
726,2402.069169
727,2385.821146
728,2378.381939
729,2407.954729
730,2433.972147
731,2411.374734
732,2417.863195
733,2433.894412
734,2426.120119
735,2455.181444
736,2409.80727
737,2505.847629
738,2501.239443
739,2509.746389
740,2484.960017
741,2460.958335
742,2521.685411
743,2513.377741
744,2506.690378
745,2558.713049
746,2559.199763
747,2552.322286
748,2552.744598
749,2595.618225
750,2556.457576
751,2586.72235
752,2583.875578
753,2589.310415
754,2568.113072
755,2610.199184
756,2588.629997
757,2594.24052
758,2656.930754
759,2630.666743
760,2641.817751
761,2669.342938
762,2673.724865
763,2661.608909
764,2683.844516
765,2707.451225
766,2680.996709
767,2672.691186
768,2659.641503
769,2713.852321
770,2710.890099
771,2697.121048
772,2723.1638
773,2744.034288
774,2764.789265
775,2738.103642
776,2724.495616
777,2749.24956
778,2752.581234
779,2772.914961
780,2804.30616
781,2803.430058
782,2807.965087
783,2814.730966
784,2810.196879
785,2832.128142
786,2860.559327
787,2850.366555
788,2828.060018
789,2893.867121
790,2818.889145
791,3037.187634
792,2881.722594
793,2893.914749
794,2918.597354
795,2916.228678
796,2949.401179
797,2932.734489
798,2923.193952
799,2904.20999
800,2921.551825
801,2957.240776
802,2960.532161
803,2944.806768
804,2958.866404
805,2987.290875
806,2969.774973
807,3041.193443
808,3025.244881
809,3023.789911
810,3018.060882
811,3149.721581
812,3093.387704
813,3074.707535
814,3092.098585
815,3073.659846
816,3102.370347
817,3073.720062
818,3120.423896
819,3111.993781
820,3108.635757
821,3132.099073
822,3136.836813
823,3145.906422
824,3153.818789
825,3169.80702
826,3175.904254
827,3186.355647
828,3201.93617
829,3180.56183
830,3209.101878
831,3235.827311
832,3202.410427
833,3234.407918
834,3240.988153
835,3264.872735
836,3224.302271
837,3268.292612
838,3248.625662
839,3258.730342
840,3304.130931
841,3308.841873
842,3322.623798
843,3334.325343
844,3324.190337
845,3293.396675
846,3371.360763
847,3340.939135
848,3386.974434
849,3406.428661
850,3388.391096
851,3425.386617
852,3378.755472
853,3466.615093
854,3433.910879
855,3429.572089
856,3485.662104
857,3422.111271
858,3481.908384
859,3471.086126
860,3493.221175
861,3505.348323
862,3528.253851
863,3509.604119
864,3484.67398
865,3516.505942
866,3542.119902
867,3500.905377
868,3541.90734
869,3545.052695
870,3558.240665
871,3533.965912
872,3622.319465
873,3585.94148
874,3583.032296
875,3634.507243
876,3642.172835
877,3626.168975
878,3642.146181
879,3651.704641
880,3660.795497
881,3666.259346
882,3692.991043
883,3679.109413
884,3756.695121
885,3757.627674
886,3672.574182
887,3720.231088
888,3747.519119
889,3723.16486
890,3812.64242
891,3754.845493
892,3798.604257
893,3796.183346
894,3792.551419
895,3789.761817
896,3827.436003
897,3823.454471
898,3890.09858
899,3820.993841
900,3857.621852
901,3888.647699
902,3857.989008
903,3840.198246
904,3967.023298
905,3899.583996
906,3927.045212
907,3931.812651
908,3930.32075
909,3916.243538
910,3954.067997
911,3949.473724
912,3940.191703
913,4002.331411
914,3983.557342
915,4010.748912
916,3995.077813
917,4027.511477
918,3997.681418
919,4063.177407
920,4027.951835
921,4035.84133
922,4052.416771
923,4063.441005
924,4091.348192
925,4083.365145
926,4109.950251
927,4090.991013
928,4153.356284
929,4129.231239
930,4172.138991
931,4193.353918
932,4146.819319
933,4203.928124
934,4190.869395
935,4184.297025
936,4234.420449
937,4270.109437
938,4221.660945
939,4256.891089
940,4268.998153
941,4253.811021
942,4301.644559
943,4346.671016
944,4342.963116
945,4365.106348
946,4306.020078
947,4342.561199
948,4312.059648
949,4364.505852
950,4348.48312
951,4363.028727
952,4362.379885
953,4378.600516
954,4399.554965
955,4412.340597
956,4402.436253
957,4487.344235
958,4457.082587
959,4500.563665
960,4482.17047
961,4482.792369
962,4464.020067
963,4523.6843
964,4539.905485
965,4525.190299
966,4539.449887
967,4546.059374
968,4598.217308
969,4585.5021
970,4604.23591
971,4561.634227
